
2024/02/28 (21:31:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/28 (21:32:14) | ===> btop++ v.1.3.2
2024/02/28 (21:32:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/29 (11:32:26) | ===> btop++ v.1.3.2
2024/02/29 (11:32:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/01 (09:30:52) | ===> btop++ v.1.3.2
2024/03/01 (09:30:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/01 (09:31:09) | ===> btop++ v.1.3.2
2024/03/01 (09:31:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/01 (16:36:17) | ===> btop++ v.1.3.2
2024/03/01 (16:36:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/01 (23:04:51) | ===> btop++ v.1.3.2
2024/03/01 (23:04:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/03 (12:13:12) | ===> btop++ v.1.3.2
2024/03/03 (12:13:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/04 (10:37:37) | ===> btop++ v.1.3.2
2024/03/04 (10:37:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/04 (11:19:57) | ===> btop++ v.1.3.2
2024/03/04 (11:19:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/04 (11:22:45) | ===> btop++ v.1.3.2
2024/03/04 (11:22:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/04 (11:22:53) | ===> btop++ v.1.3.2
2024/03/04 (11:22:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/04 (11:23:04) | ===> btop++ v.1.3.2
2024/03/04 (11:23:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/04 (11:23:12) | ===> btop++ v.1.3.2
2024/03/04 (11:23:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/05 (07:41:20) | ===> btop++ v.1.3.2
2024/03/05 (07:41:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/05 (07:41:58) | ===> btop++ v.1.3.2
2024/03/05 (07:41:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/07 (08:29:49) | ===> btop++ v.1.3.2
2024/03/07 (08:29:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/07 (10:59:04) | ===> btop++ v.1.3.2
2024/03/07 (10:59:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/15 (16:13:16) | ===> btop++ v.1.3.2
2024/03/15 (16:13:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/24 (16:58:52) | ===> btop++ v.1.3.2
2024/03/24 (16:58:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/25 (18:40:02) | ===> btop++ v.1.3.2
2024/03/25 (18:40:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/25 (18:41:19) | ===> btop++ v.1.3.2
2024/03/25 (18:41:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/26 (09:39:19) | ===> btop++ v.1.3.2
2024/03/26 (09:39:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/26 (09:39:58) | ===> btop++ v.1.3.2
2024/03/26 (09:39:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/26 (12:50:57) | ===> btop++ v.1.3.2
2024/03/26 (12:50:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/03/26 (14:51:37) | ===> btop++ v.1.3.2
